qrcodeservice,http://10.129.1.109:8081/isLive,{"code":0,"msg":"OK","data":"你好"},200,application/json;charset=UTF-8
overtime-web,http://10.129.1.109:8082/isLive,{"code":0,"msg":"OK","data":"IamOK..."},200,application/json;charset=UTF-8
member-management,http://10.129.1.109:8083/isLive,ok,200,None
weixinmeals,http://10.129.1.109:8084/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
employeebuilding,http://10.129.1.109:8085/isLive,{"code":0,"msg":"OK","data":"employeebuildingislive"},200,application/json;charset=UTF-8
gatjobevent,http://10.129.5.101:8080/isLive,ok,200,None
gconf-web,http://10.129.5.101:8081/isLive,{"errno":0,"errmsg":"ok","data":"SUCCESS"},200,application/json;charset=UTF-8
billing,http://10.129.5.101:8082/isLive,billingislive.,200,text/plain;charset=UTF-8
thirdasset,http://10.129.5.101:8083/isLive,{"code":0,"msg":"OK","data":"OK"},200,application/json;charset=UTF-8
giveapp-server,http://10.129.5.102:8080/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
gatjobevent,http://10.129.5.103:8080/isLive,ok,200,None
gconf-web,http://10.129.5.103:8081/isLive,{"errno":0,"errmsg":"ok","data":"SUCCESS"},200,application/json;charset=UTF-8
billing,http://10.129.5.103:8082/isLive,billingislive.,200,text/plain;charset=UTF-8
thirdasset,http://10.129.5.103:8083/isLive,{"code":0,"msg":"OK","data":"OK"},200,application/json;charset=UTF-8
open-server,http://10.129.5.104:8082/isLive,open-serverisok,200,text/plain;charset=UTF-8
privilege,http://10.129.5.104:8083/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
apppush-provider,http://10.129.5.104:8084/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
wechat-provider,http://10.129.5.104:8085/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
coupon,http://10.129.5.105:8080/isLive,{"code":0,"msg":"OK","data":"测试中文的标题"},200,application/json;charset=UTF-8
gat-es-crm2,http://10.129.5.80:8080/isLive,<!DOCTYPEhtml><html><head><title>ApacheTomcat/8.0.36-Errorreport</title><styletype="text/css">H1{font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;}H2{font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;}H3{font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;}BODY{font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;}B{font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;}P{font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A{color:black;}A.name{color:black;}.line{height:1px;background-color:#525D76;border:none;}</style></head><body><h1>HTTPStatus404-/isLive</h1><divclass="line"></div><p><b>type</b>Statusreport</p><p><b>message</b><u>/isLive</u></p><p><b>description</b><u>Therequestedresourceisnotavailable.</u></p><hrclass="line"><h3>ApacheTomcat/8.0.36</h3></body></html>,404,text/html;charset=utf-8
coupon,http://10.129.5.107:8080/isLive,{"code":0,"msg":"OK","data":"测试中文的标题"},200,application/json;charset=UTF-8
giveapp-server,http://10.129.5.109:8080/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
limit,http://10.129.5.110:8080/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=ISO-8859-1
limit,http://10.129.5.111:8080/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=ISO-8859-1
open-server,http://10.129.5.112:8082/isLive,open-serverisok,200,text/plain;charset=UTF-8
privilege,http://10.129.5.112:8083/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
